"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"WPCS",0.53,0.42,-0.41%,8.28%,-16.26%,-51.99%,91.67%,53.01,2.53,67.55%,-12.76%,92.05%,31937004
2,"VISN",1.90,1.77,144.18%,199.10%,577.71%,20.28%,1662.71%,94.09,31.20,28.40%,20.23%,6.79%,1624303
3,"KNDI",2.26,0.44,38.69%,43.03%,84.43%,12.39%,206.82%,79.26,10.34,25.94%,25.49%,0.37%,5760064
4,"NETE",,0.20,40.81%,3.42%,-20.46%,-47.56%,81.05%,66.86,3.44,24.19%,22.86%,1.08%,18652
5,"BIOL",3.85,0.10,38.93%,40.78%,-15.43%,-56.53%,126.02%,77.28,2.60,20.93%,20.37%,0.47%,1415194
6,"REE",,0.10,18.10%,2.18%,-16.08%,-56.48%,52.73%,60.55,1.68,20.86%,19.15%,1.44%,2284401
7,"CUDA",,1.63,45.19%,55.29%,55.29%,16.36%,90.50%,,35.49,20.35%,19.33%,0.85%,926955
8,"ICLD",-2.36,1.69,57.97%,97.49%,67.37%,-57.78%,590.91%,71.89,15.20,17.83%,14.54%,2.87%,4554914
9,"TIGR",0.02,0.08,7.65%,3.99%,6.20%,-19.42%,45.53%,57.81,1.95,17.48%,14.04%,3.01%,49093
10,"ANIP",1.34,0.77,31.12%,52.47%,126.00%,13.85%,314.37%,84.30,19.89,16.18%,-0.55%,16.82%,652858
11,"AMRS",,0.24,72.07%,88.40%,89.53%,15.20%,141.01%,91.07,5.23,15.96%,14.69%,1.11%,3128491
12,"SGOC",-0.58,0.43,2.69%,-0.47%,52.28%,-56.30%,420.00%,51.90,3.64,15.92%,16.67%,-0.64%,546178
13,"KIOR",,0.14,2.87%,-16.47%,-47.69%,-76.18%,39.23%,47.90,1.81,15.29%,13.12%,1.91%,1115024
14,"MCP",3.25,0.18,15.32%,12.94%,-7.02%,-53.18%,22.62%,69.30,5.53,14.97%,11.04%,3.53%,24391412
15,"CYTR",1.14,0.56,36.64%,79.25%,101.95%,-22.53%,192.22%,64.85,5.26,13.85%,13.85%,0.00%,4278855
16,"CTCH",0.14,0.10,13.92%,13.15%,7.90%,-23.81%,50.50%,70.80,3.04,13.43%,12.59%,0.75%,363197
17,"CRDS",0.74,0.25,15.33%,52.84%,32.81%,-21.74%,239.13%,65.14,2.34,13.04%,6.85%,5.80%,691880
18,"TIK",0.10,0.12,43.43%,44.88%,60.61%,12.76%,122.56%,91.30,5.92,12.76%,12.55%,0.19%,107093
19,"KONE",0.10,0.23,11.01%,14.82%,14.71%,-43.57%,210.10%,56.72,3.07,11.64%,11.23%,0.36%,36424
20,"WYY",0.80,0.13,31.92%,65.49%,115.37%,5.45%,411.76%,75.04,1.74,11.54%,8.75%,2.56%,3875122
21,"SHIP",1.74,0.16,50.75%,64.40%,39.22%,-22.51%,162.50%,77.25,2.10,11.11%,-4.55%,16.40%,439919
22,"PEIX",1.50,0.34,30.11%,47.18%,33.14%,-24.40%,128.76%,75.61,5.33,11.04%,11.27%,-0.21%,1565553
23,"USEG",1.90,0.17,16.29%,19.06%,70.11%,1.32%,164.14%,69.78,3.83,10.69%,10.06%,0.58%,659557
24,"PGRX",,0.13,6.68%,-15.30%,-72.33%,-98.00%,21.33%,51.25,1.82,10.30%,9.64%,0.61%,188609
