"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"SEED",2.81,0.11,79.33%,59.34%,62.44%,7.11%,118.80%,80.46,2.56,39.13%,14.80%,21.20%,7048307
2,"SCON",2.72,0.11,43.88%,52.52%,23.33%,-45.26%,119.72%,83.26,3.12,38.67%,38.67%,0.00%,1410672
3,"ALTI",1.57,0.25,28.89%,16.24%,69.87%,-35.50%,155.45%,68.89,5.16,21.41%,19.17%,1.88%,132051
4,"LITB",,0.45,29.88%,20.90%,-17.53%,-58.04%,58.74%,70.55,9.81,20.37%,18.77%,1.35%,2054827
5,"FONR",1.64,1.51,36.98%,53.14%,172.29%,7.39%,436.69%,73.12,23.99,20.19%,16.97%,2.76%,1110736
6,"TAOM",,0.29,44.61%,45.46%,52.38%,7.45%,111.86%,84.34,7.50,18.30%,17.74%,0.47%,285505
7,"LIVE",0.86,0.38,58.77%,74.02%,79.86%,0.88%,189.34%,84.73,5.70,16.80%,12.87%,3.48%,420259
8,"OXBT",0.74,0.52,8.76%,7.33%,59.74%,-65.33%,362.18%,50.14,5.50,15.55%,-2.65%,18.70%,7499890
9,"PPHM",1.69,0.06,24.62%,25.49%,17.12%,-40.29%,49.55%,78.21,1.66,14.48%,-6.74%,22.76%,21572774
10,"CERE",,0.09,14.68%,5.82%,-14.90%,-69.11%,57.27%,62.26,1.73,14.57%,11.61%,2.65%,1161223
11,"MARPS",0.37,0.47,11.15%,6.66%,5.86%,-4.57%,28.37%,64.71,16.45,14.16%,15.68%,-1.32%,21507
12,"P",,1.26,13.35%,13.21%,51.46%,-1.41%,228.02%,64.95,31.49,14.14%,8.21%,5.47%,28833796
13,"EONC",1.22,0.27,62.27%,125.59%,210.66%,-6.21%,352.86%,79.01,3.17,14.03%,-6.49%,21.94%,2112753
14,"RCON",2.63,0.23,14.10%,-12.17%,38.45%,-37.91%,148.34%,54.55,3.60,13.60%,13.60%,0.00%,326278
15,"ISNS",0.68,0.22,12.98%,-0.59%,-8.38%,-31.76%,31.70%,60.12,5.65,13.00%,11.66%,1.20%,10288
16,"CTIC",5.53,0.09,33.91%,33.99%,78.57%,11.26%,154.64%,81.47,2.47,12.27%,6.47%,5.45%,19350676
17,"USAT",3.02,0.08,16.10%,16.38%,8.24%,-24.36%,48.57%,71.55,2.08,12.43%,10.64%,1.62%,1334633
18,"ETAK",0.68,0.10,13.79%,43.98%,60.80%,-17.26%,162.26%,65.68,1.39,13.01%,8.59%,4.07%,1351821
