"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"OPTT",1.72,0.18,51.98%,67.79%,91.76%,-7.54%,143.59%,82.09,3.53,53.57%,43.00%,7.39%,26176952
2,"STV",0.50,0.11,36.14%,54.32%,80.98%,25.00%,129.63%,82.45,3.10,31.91%,30.25%,1.28%,3010767
3,"DHRM",2.05,0.42,75.74%,110.81%,233.43%,23.55%,430.39%,92.69,9.60,30.26%,24.35%,4.75%,1471517
4,"CADX",1.46,0.60,24.27%,38.73%,89.63%,10.32%,214.61%,76.00,14.00,26.47%,0.14%,26.29%,82656784
5,"ISSC",1.28,0.34,18.34%,18.18%,11.07%,-9.84%,98.57%,71.65,8.34,21.93%,7.47%,13.45%,325576
6,"RLYP",,2.42,16.30%,39.90%,50.90%,-0.75%,233.51%,69.52,38.52,18.89%,9.77%,8.30%,302997
7,"STML",,2.13,18.30%,31.79%,10.50%,-39.11%,161.55%,64.97,28.77,17.48%,15.73%,1.51%,684920
8,"MCOX",2.53,0.33,2.59%,6.64%,12.11%,-50.00%,135.93%,53.85,3.94,16.57%,17.26%,-0.59%,103372
9,"CBAK",2.25,0.16,6.47%,-4.16%,13.07%,-43.48%,230.51%,54.84,1.95,15.38%,14.71%,0.59%,620639
10,"CVM",1.78,0.11,30.20%,59.00%,-18.99%,-58.06%,145.28%,71.11,1.30,15.04%,15.04%,0.00%,8776418
11,"CAP",1.82,0.48,7.95%,3.01%,-2.71%,-25.43%,16.87%,63.92,22.58,14.68%,12.62%,1.83%,633648
12,"SNAK",0.99,0.43,5.74%,3.47%,29.22%,-4.29%,99.70%,59.19,13.16,14.53%,12.00%,2.26%,235385
13,"LGND",1.10,2.96,15.91%,24.95%,55.29%,8.43%,253.14%,71.29,71.37,13.83%,13.36%,0.41%,1257275
14,"OMED",,2.54,8.78%,21.44%,69.65%,-15.49%,196.44%,63.32,35.78,13.70%,6.42%,6.83%,745244
15,"FPRX",,1.29,3.59%,11.35%,24.81%,-21.59%,111.97%,56.89,17.00,13.64%,13.03%,0.53%,443056
16,"PED",0.71,0.18,-4.99%,-8.73%,-32.46%,-68.94%,476.32%,44.52,2.19,13.47%,4.29%,8.81%,313541
17,"IGLD",1.95,0.44,14.62%,-4.00%,17.17%,-46.71%,209.45%,56.96,8.48,12.90%,6.12%,6.39%,22650
18,"VSCI",0.62,0.10,4.72%,16.16%,30.86%,-11.33%,70.51%,56.95,1.33,12.71%,10.83%,1.69%,107222
19,"TTI",2.64,0.32,5.20%,-1.81%,-0.44%,-15.44%,39.14%,56.94,11.34,12.61%,5.49%,6.75%,1806607
20,"HNSN",1.08,0.12,15.69%,32.17%,43.09%,0.40%,120.18%,74.40,2.51,12.56%,5.46%,6.73%,6656009
21,"GNVC",2.08,0.30,14.91%,48.63%,201.00%,-7.53%,1472.00%,64.13,3.93,12.29%,11.02%,1.14%,184668
22,"ZIOP",2.21,0.27,3.92%,8.01%,40.07%,-23.36%,206.04%,57.85,4.56,12.04%,10.95%,0.98%,1758145
23,"TCX",0.65,0.57,12.90%,13.17%,47.45%,-1.25%,128.69%,65.41,14.27,11.92%,11.75%,0.16%,188215
24,"MNK",,2.20,14.59%,21.39%,38.86%,7.16%,61.44%,73.76,66.19,11.60%,3.00%,8.35%,7597420
25,"SCOR",1.71,0.75,12.39%,12.93%,18.78%,3.82%,108.05%,74.87,31.00,11.51%,0.10%,11.40%,1722485
26,"TQNT",2.21,0.27,10.69%,13.44%,23.48%,3.76%,117.87%,69.30,9.39,11.39%,11.12%,0.24%,11581825
27,"IRBT",1.56,1.80,14.78%,20.58%,20.35%,2.12%,110.48%,70.75,41.99,11.38%,11.03%,0.32%,3845344
