"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"DYSL",0.62,0.08,46.57%,50.63%,99.69%,12.54%,341.72%,79.56,1.77,44.83%,24.43%,16.39%,5913914
2,"RBPAA",-0.11,0.12,92.04%,100.99%,99.22%,42.38%,157.76%,91.37,2.99,42.38%,26.16%,12.86%,264278
3,"RXII",,0.39,32.63%,54.82%,46.46%,-42.87%,141.96%,74.48,6.17,28.54%,27.22%,1.04%,885483
4,"TQNT",2.22,0.31,33.34%,37.37%,50.31%,22.78%,170.07%,82.06,11.64,26.11%,4.58%,20.59%,48752176
5,"CLDN",,0.38,25.11%,25.11%,25.11%,9.45%,35.71%,,9.50,25.50%,3.60%,21.14%,3197213
6,"SSY",1.81,0.13,26.10%,46.25%,70.15%,-23.94%,180.39%,70.81,1.43,22.22%,3.62%,17.95%,342148
7,"RFMD",2.30,0.20,27.92%,36.07%,32.54%,13.39%,63.49%,81.72,7.03,21.00%,5.87%,14.29%,72907432
8,"TREX",1.90,2.47,23.51%,15.97%,42.70%,-0.55%,100.19%,71.84,82.58,20.73%,10.11%,9.65%,1412559
9,"NPD",2.01,0.10,33.43%,35.88%,68.53%,13.45%,113.17%,81.25,2.70,17.39%,17.39%,0.00%,1106951
10,"GTAT",1.83,0.68,32.19%,47.75%,94.48%,9.70%,441.76%,74.00,14.14,16.76%,7.94%,8.18%,21684326
11,"KNDI",2.39,0.94,22.68%,34.18%,113.30%,1.10%,348.41%,69.03,15.56,16.47%,9.58%,6.29%,8607854
12,"BLDP",1.94,0.15,30.34%,41.68%,66.19%,4.44%,314.71%,73.84,2.82,16.05%,16.53%,-0.41%,6277447
13,"INO",3.54,0.17,39.38%,47.53%,105.79%,14.81%,659.18%,79.62,3.72,15.53%,9.41%,5.59%,32064708
14,"KIOR",,0.07,11.39%,-7.64%,-53.64%,-79.37%,19.09%,54.77,1.31,14.91%,13.91%,0.88%,1487416
15,"SEV",1.26,1.03,41.05%,78.15%,146.72%,5.71%,308.24%,75.08,13.88,14.81%,15.38%,-0.50%,110300
16,"SR",0.02,0.75,36.47%,36.03%,33.96%,-42.75%,326.22%,76.15,9.59,14.30%,8.98%,4.89%,80601
17,"SMP",2.24,0.70,14.37%,7.32%,9.40%,-8.02%,54.92%,73.07,36.51,13.53%,1.14%,12.25%,299845
18,"PULS",3.13,0.26,45.66%,45.35%,26.72%,-36.06%,73.83%,80.33,4.45,12.66%,2.30%,10.13%,640723
19,"PRAN",0.66,1.26,-7.18%,12.69%,90.74%,-32.05%,330.00%,50.77,9.03,12.45%,7.63%,4.48%,3916660
20,"AMDA",,0.73,37.01%,37.01%,37.01%,11.80%,66.23%,,8.81,12.23%,9.99%,2.04%,393999
21,"MRNA",1.72,0.13,54.26%,120.02%,295.93%,5.19%,688.89%,78.13,1.42,11.81%,13.60%,-1.57%,1032794
22,"TRVN",,0.60,18.91%,18.91%,18.91%,0.49%,37.17%,,8.23,11.22%,-7.11%,19.73%,372453
23,"SARA",2.05,0.11,21.07%,18.20%,-26.98%,-58.18%,40.00%,63.44,1.33,10.83%,10.37%,0.42%,258122
24,"BGMD",,0.11,11.66%,13.10%,23.63%,-40.79%,145.45%,60.60,1.35,10.66%,8.87%,1.64%,1338778
25,"HUM",0.64,2.30,16.12%,14.72%,22.87%,7.73%,74.76%,81.27,113.69,10.57%,10.58%,-0.01%,6564197
26,"ESTE",0.74,0.33,16.79%,16.13%,30.95%,6.86%,68.44%,85.74,21.19,10.54%,5.95%,4.33%,57889
