"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"LIVE",-0.96,0.90,46.01%,157.33%,410.07%,-7.34%,1104.55%,69.72,7.95,38.02%,27.20%,8.51%,3479430
2,"OPTT",1.72,0.32,95.82%,119.04%,152.72%,9.35%,222.76%,88.79,4.68,32.58%,26.49%,4.82%,31351632
3,"SNMX",1.14,0.56,30.36%,66.41%,163.43%,9.12%,435.36%,73.12,9.69,24.87%,24.71%,0.13%,1867072
4,"LUNA",0.17,0.19,11.74%,19.18%,25.47%,-50.00%,54.13%,58.02,1.68,20.00%,17.48%,2.14%,1664687
5,"CADC",2.09,0.54,22.88%,44.51%,78.32%,-13.42%,201.87%,71.85,8.00,21.21%,25.19%,-3.18%,39759
6,"EONC",0.89,0.35,34.50%,84.87%,267.24%,10.75%,635.71%,78.46,5.15,20.05%,18.66%,1.17%,184929
7,"CSTE",,2.23,13.42%,8.31%,33.68%,-3.82%,147.43%,64.54,51.93,12.31%,1.82%,10.29%,283112
8,"CMGE",,2.28,21.83%,53.56%,128.80%,7.78%,1211.00%,74.65,39.33,19.25%,18.89%,0.30%,814297
9,"EMMS",0.64,0.15,10.24%,18.31%,32.21%,-8.59%,130.77%,66.97,3.30,19.13%,3.12%,15.52%,821751
10,"STXS",2.82,0.44,2.02%,21.79%,65.64%,-47.56%,370.43%,59.48,5.19,0.00%,0.00%,0.00%,48050
11,"CTRL",,2.36,-7.72%,14.45%,19.55%,-30.22%,64.71%,52.92,22.68,12.56%,5.49%,6.70%,530378
12,"SEV",1.06,1.06,39.27%,70.40%,117.09%,-11.65%,241.18%,70.68,11.60,15.31%,17.29%,-1.69%,61835
13,"DHRM",2.05,0.62,92.89%,135.93%,277.69%,5.05%,508.84%,94.34,11.02,14.79%,14.67%,0.10%,592196
14,"KFRC",1.99,0.68,10.47%,6.90%,21.22%,-2.36%,71.57%,64.60,20.86,13.27%,-2.59%,16.29%,130672
15,"MRIN",,0.48,14.01%,14.13%,-0.81%,-43.61%,32.35%,64.97,11.25,14.10%,1.35%,12.58%,1239564
16,"TRMB",1.62,0.75,12.28%,11.53%,24.93%,5.31%,49.51%,72.10,36.87,13.03%,6.53%,6.10%,1993190
17,"KONE",-1.64,1.38,-6.69%,54.51%,147.32%,-51.31%,723.23%,53.98,8.15,13.51%,15.44%,-1.67%,78325
18,"RCON",2.35,0.38,14.87%,30.37%,63.73%,-18.84%,203.71%,64.60,4.71,0.80%,-0.48%,1.28%,70509
19,"ACO",1.57,0.69,19.11%,23.94%,26.22%,11.49%,52.27%,92.30,41.24,12.31%,-0.22%,12.55%,3119047
20,"SEED",2.84,0.21,6.28%,22.65%,34.75%,-26.00%,85.95%,58.20,2.18,12.14%,12.14%,0.00%,682953
21,"PAMT",1.24,0.76,0.47%,11.12%,0.10%,-32.60%,69.55%,55.41,15.09,11.86%,11.61%,0.22%,101710
22,"DLHC",0.90,0.26,-1.23%,32.22%,107.20%,-27.43%,353.55%,56.23,2.54,-0.40%,0.00%,-0.39%,11500
23,"OESX",,0.49,-9.96%,-11.58%,35.59%,-29.59%,185.50%,45.23,5.71,11.74%,3.82%,7.63%,527071
24,"BFR",1.85,0.38,3.81%,-6.09%,11.60%,-31.16%,82.72%,52.93,6.45,11.59%,12.17%,-0.52%,372426
25,"RARE",,3.47,12.95%,12.95%,12.95%,-9.76%,23.73%,,43.31,7.91%,8.13%,-0.20%,52781
26,"SKBI",0.71,0.31,19.39%,24.92%,58.52%,-25.54%,384.00%,70.73,4.84,11.26%,9.01%,2.07%,130174
27,"CNYD",1.78,0.54,-4.17%,18.68%,5.75%,-68.36%,112.55%,52.66,4.74,6.28%,8.22%,-1.79%,1241
28,"SGEN",1.21,1.86,11.78%,18.80%,25.97%,2.10%,89.81%,69.18,50.49,10.72%,5.76%,4.69%,4014930
29,"VICL",1.85,0.11,3.81%,17.52%,-27.73%,-66.74%,48.51%,59.14,1.50,10.29%,1.35%,8.82%,5872361
