"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"MBLX",1.65,0.17,73.22%,48.86%,6.83%,-36.82%,117.33%,75.34,1.63,52.34%,44.25%,5.61%,4505885
2,"TNXP",,0.67,85.22%,111.41%,63.36%,-39.67%,2413.89%,85.44,9.05,30.59%,28.73%,1.44%,428624
3,"AMCF",2.03,0.16,27.58%,15.78%,91.38%,-41.45%,257.78%,64.91,1.61,26.77%,23.85%,2.36%,678213
4,"VIFL",0.54,0.25,26.03%,26.86%,33.76%,5.63%,51.06%,79.77,7.13,26.64%,0.28%,26.29%,138050
5,"RSYS",0.78,0.14,12.39%,-6.00%,-34.79%,-49.42%,30.20%,57.34,2.63,24.64%,22.90%,1.42%,901123
6,"BORN",2.70,0.21,15.40%,19.59%,50.99%,-49.09%,113.33%,60.41,2.24,22.40%,21.74%,0.55%,1619627
7,"ICAD",1.22,0.57,20.25%,31.43%,69.22%,3.14%,202.59%,74.83,10.50,22.09%,20.00%,1.74%,440401
8,"EVI",0.38,0.37,40.06%,66.01%,152.52%,17.14%,292.96%,81.71,4.58,21.81%,19.90%,1.60%,381936
9,"BLDP",1.82,0.12,27.82%,21.48%,18.28%,-28.87%,198.25%,73.15,1.70,18.88%,-9.57%,31.47%,13935436
10,"PSUN",2.66,0.16,17.65%,16.99%,7.94%,-28.54%,141.18%,69.82,3.28,18.84%,2.50%,15.94%,3439789
11,"WYY",0.83,0.09,30.94%,37.78%,65.12%,3.33%,287.50%,73.45,1.24,18.10%,14.81%,2.86%,2061813
12,"AGX",0.44,0.91,11.37%,13.74%,42.66%,6.57%,87.45%,68.52,25.15,17.69%,11.78%,5.29%,513070
13,"TRIT",2.33,0.14,10.76%,2.31%,3.72%,-47.51%,39.97%,57.91,1.68,16.64%,16.64%,0.00%,346260
14,"PRIS",,0.14,9.08%,-1.31%,48.28%,-29.00%,169.01%,54.21,1.91,16.46%,12.86%,3.19%,265472
15,"VISN",1.96,1.17,19.01%,33.78%,168.59%,-42.50%,484.75%,60.54,10.35,15.13%,14.87%,0.22%,682026
16,"PURE",0.63,0.12,15.55%,21.91%,102.17%,-12.35%,577.27%,63.57,1.49,14.62%,6.43%,7.69%,275002
17,"PLUG",1.16,0.15,179.76%,208.14%,391.17%,5.05%,1615.83%,92.94,2.06,13.76%,-1.48%,15.47%,51835008
18,"GTN-A",,0.58,17.03%,31.29%,66.72%,-1.26%,566.67%,66.56,11.00,12.82%,14.35%,-1.33%,12075
19,"BOSC",-0.13,1.03,75.88%,92.99%,137.21%,-22.58%,268.42%,77.10,8.40,12.75%,-8.10%,22.68%,1750135
20,"TELOZ",1.30,0.16,-11.16%,-14.06%,-35.31%,-61.86%,446.67%,43.13,1.64,12.33%,13.10%,-0.68%,16217
21,"EONC",1.03,0.07,14.48%,15.96%,30.52%,0.00%,75.00%,62.57,1.19,12.26%,12.26%,0.00%,19062
22,"AUXL",0.57,0.93,11.80%,18.73%,24.64%,3.29%,56.02%,67.24,21.64,11.95%,11.83%,0.10%,7431901
23,"PBYI",,5.64,91.29%,89.56%,103.21%,7.40%,376.13%,86.64,86.75,11.65%,11.16%,0.44%,1197403
24,"ETAK",0.63,0.09,31.40%,56.58%,36.35%,-29.76%,122.64%,72.16,1.18,11.32%,11.32%,0.00%,2178343
25,"CLWT",1.80,0.25,22.04%,18.05%,34.50%,-24.64%,75.84%,74.89,4.22,11.06%,11.64%,-0.53%,380715
26,"UQM",1.66,0.14,5.87%,19.85%,74.78%,-11.72%,210.29%,60.65,2.11,10.47%,9.90%,0.52%,441517
27,"GTT",0.80,0.19,20.80%,21.32%,48.67%,5.23%,212.00%,83.27,6.24,10.44%,8.71%,1.59%,87809
28,"CREG",1.46,0.34,13.13%,34.38%,119.30%,-10.00%,370.45%,62.68,4.14,10.11%,10.11%,0.00%,398618
29,"GTN",2.98,0.75,16.65%,36.33%,80.01%,-2.52%,540.70%,69.30,12.75,10.10%,8.05%,1.90%,1069666
30,"IVAC",1.61,0.30,24.22%,30.91%,35.00%,6.62%,78.57%,75.93,7.25,9.85%,9.35%,0.45%,185274
31,"DBLE",1.65,0.15,25.40%,4.83%,-28.11%,-56.13%,43.16%,70.21,2.72,9.68%,7.94%,1.61%,76856
32,"CRDS",0.74,0.19,31.85%,67.70%,12.71%,-36.27%,182.61%,69.23,1.95,9.55%,11.43%,-1.69%,299404
33,"AAOI",,0.64,13.20%,21.17%,21.17%,6.44%,58.43%,70.93,14.37,9.53%,9.19%,0.30%,192131
34,"ISIG",1.80,0.12,8.29%,5.40%,21.22%,-6.95%,81.29%,61.18,2.81,9.34%,7.25%,1.95%,120857
35,"FARM",1.55,0.81,15.77%,27.99%,46.80%,7.15%,104.27%,80.27,22.49,9.33%,8.07%,1.17%,53959
36,"EGY",1.02,0.36,9.97%,13.21%,2.51%,-32.32%,28.23%,62.56,6.45,9.32%,5.74%,3.39%,1979217
37,"UIS",3.99,0.81,11.21%,14.74%,27.72%,5.19%,91.33%,72.46,30.00,9.09%,7.30%,1.67%,1285782
38,"ENZN",0.95,0.10,6.33%,-0.45%,-10.39%,-38.49%,17.04%,54.23,1.58,8.97%,-7.06%,17.24%,1111271
39,"WIX",,1.34,26.45%,27.28%,27.28%,1.66%,47.56%,,23.89,8.94%,3.91%,4.83%,238701
40,"FCEL",2.15,0.08,22.59%,27.75%,42.03%,4.88%,104.76%,80.02,1.72,8.86%,1.18%,7.59%,11777216
41,"NFEC",3.09,0.13,1.14%,-1.49%,44.85%,-41.04%,261.30%,52.36,1.70,8.85%,5.47%,3.21%,156582
42,"XXIA",1.48,0.49,-0.86%,-9.02%,-19.37%,-41.91%,9.92%,46.53,13.07,8.83%,8.11%,0.67%,1612856
43,"ATOS",,0.19,15.80%,1.47%,-48.38%,-78.63%,52.30%,65.89,2.65,8.61%,7.29%,1.23%,278131
44,"SOHO",1.69,0.20,8.25%,15.93%,28.14%,1.79%,102.35%,71.44,5.69,8.38%,7.36%,0.95%,192575
45,"RCAP",,0.52,3.47%,0.86%,4.66%,-10.24%,18.19%,57.85,17.37,8.29%,8.56%,-0.25%,23691
46,"LTS",1.08,0.15,19.22%,43.23%,79.48%,4.55%,175.21%,79.50,3.22,8.05%,7.33%,0.67%,954525
47,"CACH",1.59,0.31,-5.28%,-11.33%,11.06%,-25.18%,221.38%,44.92,5.11,8.03%,7.58%,0.42%,402395
48,"OTIV",0.49,0.28,15.46%,52.55%,113.83%,-12.70%,303.75%,64.19,3.23,8.03%,7.67%,0.33%,871550
49,"PCYO",0.09,0.36,0.90%,7.25%,15.83%,-10.79%,182.68%,53.44,6.53,7.93%,7.58%,0.33%,54324
50,"CBEY",1.67,0.30,13.92%,8.27%,-8.83%,-30.21%,24.30%,66.88,6.70,7.89%,7.54%,0.32%,728352
51,"ERB",0.73,0.27,4.09%,23.66%,106.42%,-29.03%,272.88%,55.16,2.20,7.84%,3.77%,3.92%,81151
52,"XLRN",,1.31,25.95%,19.33%,19.69%,-2.77%,54.89%,77.72,25.99,7.80%,7.80%,0.00%,86882
53,"ALIM",1.42,0.19,15.10%,-6.61%,-32.29%,-58.00%,89.68%,53.81,2.39,7.66%,6.22%,1.35%,105888
54,"LDRH",,1.32,12.82%,17.57%,17.57%,1.65%,42.27%,74.69,25.31,7.56%,4.98%,2.46%,188840
55,"NEWS",2.54,0.87,5.49%,-3.35%,13.28%,-17.30%,44.24%,52.02,16.40,7.47%,6.01%,1.38%,52619
56,"ATTU",-0.17,0.50,13.26%,3.96%,31.74%,-18.09%,107.92%,63.17,9.19,7.36%,5.88%,1.40%,333226
57,"EFUT",1.18,0.17,7.79%,7.56%,30.79%,-25.83%,74.51%,61.48,4.45,7.23%,6.97%,0.24%,34152
58,"LUB",1.12,0.35,6.63%,10.76%,6.26%,-9.47%,38.90%,59.27,8.32,7.22%,5.99%,1.16%,34907
59,"HMNY",0.23,0.53,11.20%,6.49%,37.05%,-29.26%,188.55%,56.78,6.72,7.18%,8.74%,-1.44%,11829
60,"GSB",0.96,0.15,7.84%,27.66%,39.68%,-7.66%,76.91%,61.03,2.29,7.01%,2.69%,4.21%,25422
61,"TRGT",3.48,0.26,8.16%,6.81%,11.49%,-5.82%,35.47%,58.70,5.50,7.00%,5.57%,1.36%,169189
62,"AIMC",1.95,0.80,3.69%,7.36%,14.08%,-4.91%,61.95%,64.94,31.15,6.97%,5.77%,1.13%,414139
