"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"SPEX",0.66,0.24,97.67%,23.82%,-56.09%,-89.34%,149.58%,70.40,2.97,96.69%,75.74%,11.92%,44820460
2,"DYAX",1.59,0.38,30.44%,12.70%,12.97%,-23.48%,236.40%,69.51,8.41,27.42%,24.78%,2.12%,6388133
3,"HSH",0.70,0.77,24.89%,24.32%,33.21%,18.89%,50.36%,83.60,45.19,22.07%,0.98%,20.88%,41625144
4,"ZBB",2.25,0.16,28.71%,7.71%,61.10%,-62.11%,350.00%,58.53,1.80,21.62%,20.81%,0.68%,889120
5,"PRAN",0.78,0.12,15.78%,-49.54%,-65.98%,-85.70%,29.25%,27.94,1.90,21.02%,18.75%,1.91%,5851661
6,"IHT",-0.13,0.03,15.03%,12.35%,27.24%,-16.99%,73.39%,71.02,2.15,19.44%,16.22%,2.78%,14744
7,"PBM",,0.13,10.00%,2.46%,1.29%,-38.05%,197.08%,59.70,5.08,17.87%,12.89%,4.41%,13267
8,"FWM",,0.33,12.98%,-1.78%,-54.95%,-75.75%,26.13%,60.66,7.00,17.85%,15.89%,1.68%,868736
9,"UBIC",,0.72,9.13%,15.06%,43.34%,-23.54%,128.84%,59.97,9.68,17.05%,13.75%,2.90%,13090
10,"MBII",,0.72,-0.13%,-14.12%,-28.43%,-47.00%,29.11%,48.82,10.60,16.74%,16.36%,0.33%,153373
11,"LAS",1.97,0.27,-20.14%,-32.44%,-37.01%,-63.47%,30.00%,34.62,2.21,16.32%,9.95%,5.79%,481413
12,"ARO",1.88,0.31,-14.58%,-19.77%,-49.74%,-75.08%,16.32%,38.42,3.92,14.96%,3.16%,11.44%,12251293
13,"JD",,1.93,12.05%,12.05%,12.05%,0.75%,15.20%,,22.97,14.28%,13.43%,0.75%,15298553
14,"TOUR",,1.24,60.80%,60.80%,60.80%,10.69%,107.86%,,17.71,14.26%,12.80%,1.29%,1585803
15,"TGTX",1.44,0.57,21.19%,5.33%,16.69%,-23.94%,105.39%,61.52,6.10,14.02%,10.31%,3.36%,792850
16,"VSTM",,0.61,28.84%,9.05%,-12.75%,-45.32%,44.93%,68.22,10.29,13.95%,12.95%,0.89%,504110
17,"IPDN",,0.11,22.99%,21.81%,0.66%,-27.37%,49.46%,76.50,4.14,13.42%,5.88%,7.12%,32436
18,"ARWR",2.73,0.99,17.58%,-10.49%,15.16%,-53.49%,609.94%,56.44,12.85,12.82%,11.93%,0.79%,1864384
19,"TRXC",0.35,0.32,-0.04%,-75.01%,-88.46%,-93.92%,40.21%,15.79,3.94,12.57%,4.23%,8.00%,244069
20,"CTO",0.96,1.15,15.50%,14.76%,22.78%,4.87%,38.75%,71.85,45.90,12.09%,11.43%,0.59%,140378
21,"AHPI",-0.18,0.06,22.08%,21.61%,15.35%,-31.03%,28.10%,78.12,2.69,12.08%,11.62%,0.42%,12030
22,"NWBO",2.77,0.41,14.90%,1.75%,34.95%,-38.63%,110.65%,59.07,6.53,12.01%,3.65%,8.06%,2016042
23,"CLDX",2.38,1.17,10.10%,-6.86%,-36.18%,-61.66%,38.38%,52.87,14.89,11.96%,11.04%,0.83%,2377519
24,"IGC",3.82,0.24,55.56%,73.43%,57.37%,-37.18%,140.98%,61.26,1.47,11.36%,6.52%,4.55%,2147335
25,"WYY",1.05,0.08,13.51%,6.50%,25.62%,-18.97%,251.11%,62.56,1.58,11.27%,8.22%,2.82%,1274696
