"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"EMKR",2.35,0.14,25.23%,30.05%,17.90%,-4.45%,53.43%,81.36,5.37,25.17%,-8.98%,37.53%,8664657
2,"CREG",2.29,0.11,1.54%,-2.57%,-48.96%,-76.86%,37.25%,50.47,1.40,20.17%,16.67%,3.00%,3722568
3,"SGRP",-0.21,0.12,25.96%,27.53%,4.25%,-16.27%,43.07%,72.15,1.82,15.74%,16.47%,-0.63%,87831
4,"MSON",-0.02,0.54,40.57%,50.98%,65.11%,-2.78%,172.02%,81.85,10.50,14.75%,12.18%,2.30%,91478
5,"VIMC",1.19,0.70,92.31%,151.28%,188.44%,-0.32%,660.16%,92.34,9.35,13.61%,14.02%,-0.36%,4369233
6,"ICCC",-0.39,0.22,10.89%,9.66%,15.53%,-4.72%,53.03%,61.97,5.05,12.47%,6.99%,5.12%,17815
7,"XXII",3.12,0.26,1.78%,5.02%,1.28%,-54.56%,232.18%,54.01,2.89,12.45%,-5.86%,19.46%,2280481
8,"VVUS",1.20,0.21,5.77%,-1.74%,-27.69%,-62.54%,31.33%,54.71,4.36,12.37%,-2.24%,14.95%,32326356
9,"CRRS",0.66,0.14,-10.54%,-24.80%,-40.95%,-70.51%,13.18%,39.13,1.46,12.31%,13.18%,-0.77%,331642
10,"BSPM",2.69,0.15,-1.67%,15.15%,-0.60%,-47.56%,161.43%,54.67,1.83,9.58%,0.55%,8.98%,717005
11,"ARNA",-0.32,0.14,4.94%,-3.23%,-27.21%,-46.42%,11.78%,53.80,4.27,9.49%,8.65%,0.77%,10957531
12,"AMCF",2.09,0.37,25.97%,58.98%,83.05%,-3.06%,470.49%,68.48,3.48,9.43%,8.75%,0.63%,264094
13,"IPAS",1.02,0.11,36.10%,30.99%,20.35%,-19.55%,68.57%,76.48,1.77,9.26%,9.26%,0.00%,763793
14,"AT",,0.19,-34.79%,-35.11%,-22.85%,-49.62%,23.93%,14.26,2.45,8.89%,8.89%,0.00%,2898358
15,"ACLS",2.43,0.07,8.05%,14.83%,4.01%,-17.83%,41.33%,72.86,2.12,8.72%,7.07%,1.54%,1204947
16,"PWE",1.52,0.19,3.71%,-3.32%,-8.75%,-32.20%,11.53%,53.26,7.62,8.70%,-0.13%,8.84%,7632237
