"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"RITT",1.46,0.15,47.89%,51.42%,25.76%,-35.67%,116.85%,74.49,1.93,39.86%,41.91%,-1.45%,1158591
2,"GLMD",,0.41,30.97%,22.64%,4.97%,-52.32%,53.17%,73.42,8.93,37.81%,37.60%,0.15%,5086287
3,"THST",,0.28,33.49%,21.76%,16.68%,-5.37%,71.68%,73.96,5.82,26.52%,18.53%,6.74%,14962
4,"NXTD",,0.35,-12.40%,-22.26%,-33.98%,-63.45%,94.85%,46.10,2.65,25.00%,-3.64%,29.72%,14159514
5,"USU",2.99,0.57,-52.75%,-62.79%,-61.23%,-85.75%,26.62%,23.21,1.76,22.22%,21.38%,0.69%,5228219
6,"SINO",0.07,0.44,32.90%,40.42%,7.70%,-47.76%,78.83%,58.31,2.45,21.89%,19.51%,1.99%,2724148
7,"RDUS",,1.17,22.09%,40.59%,49.54%,3.64%,140.62%,73.07,17.95,17.32%,15.81%,1.31%,538150
8,"MM",,0.12,-3.63%,-25.25%,-60.25%,-75.47%,18.29%,39.43,2.07,16.95%,12.50%,3.95%,5172789
9,"JRJC",2.11,1.01,-2.12%,29.21%,54.92%,-30.13%,385.38%,55.49,8.30,16.74%,11.26%,4.92%,10151237
10,"MNGA",0.46,0.08,6.77%,-1.63%,7.70%,-48.16%,217.50%,53.86,1.27,16.51%,-9.29%,28.44%,5035566
11,"UQM",2.25,0.09,-8.21%,-16.68%,-32.10%,-60.00%,16.95%,38.71,1.38,15.97%,15.00%,0.84%,186268
12,"CJJD",0.75,0.15,52.49%,47.88%,34.37%,-23.94%,332.00%,75.67,2.16,14.29%,-11.11%,28.57%,690953
13,"VPCO",-0.41,0.25,-22.23%,-51.47%,-73.97%,-84.90%,17.05%,27.38,1.51,13.53%,21.77%,-6.77%,390470
