"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ELMD",0.36,0.08,94.60%,94.82%,76.88%,12.37%,132.22%,83.66,2.09,106.93%,-5.00%,117.82%,2234056
2,"BORN",2.66,0.18,36.49%,37.50%,84.22%,-36.36%,166.67%,75.54,2.80,27.27%,22.27%,4.09%,6139856
3,"SEV",1.28,0.12,31.17%,33.65%,42.50%,14.92%,100.00%,87.01,6.70,27.13%,29.34%,-1.71%,129529
4,"CSUN",2.77,0.43,10.33%,-5.51%,81.30%,-37.98%,405.60%,55.50,6.32,22.96%,21.54%,1.17%,1039367
5,"CROX",0.89,0.27,22.64%,22.55%,9.82%,-10.08%,34.95%,83.11,16.14,21.08%,7.96%,12.15%,16688888
6,"RITT",0.86,0.10,20.50%,-5.93%,-37.56%,-59.84%,26.45%,63.86,1.96,20.25%,20.25%,0.00%,708307
7,"PRCP",1.11,0.51,41.20%,25.65%,58.75%,-3.22%,159.18%,79.98,14.41,20.08%,11.45%,7.75%,513785
8,"MLP",1.21,0.20,40.88%,48.34%,53.49%,16.49%,75.67%,88.76,6.57,19.67%,17.32%,2.00%,96367
9,"TLOG",,0.48,34.29%,34.29%,34.29%,14.29%,44.72%,,10.00,17.79%,11.36%,5.77%,289560
10,"BIOL",3.85,0.13,59.79%,64.52%,-0.25%,-48.84%,166.01%,83.63,3.06,17.69%,-2.86%,21.15%,6246539
11,"NQ",,0.81,14.08%,2.96%,7.25%,-46.33%,140.90%,60.20,13.90,17.30%,18.80%,-1.27%,13559108
12,"ORMP",0.85,1.40,70.91%,94.99%,96.73%,-8.06%,304.84%,72.08,15.06,15.94%,10.41%,5.00%,1932547
13,"KNDI",2.26,0.57,56.95%,64.09%,111.92%,14.03%,254.60%,85.27,11.95,15.57%,-2.29%,18.28%,10749328
14,"ICLD",-2.36,1.70,73.72%,121.07%,91.51%,-51.64%,691.36%,76.38,17.41,14.54%,5.64%,8.42%,2624829
15,"IDRA",1.92,0.32,43.54%,75.35%,189.17%,5.00%,2110.53%,75.19,4.20,14.13%,13.82%,0.27%,3585247
16,"NETE",,0.23,57.50%,18.16%,-9.68%,-40.40%,105.79%,74.63,3.91,13.66%,11.71%,1.74%,70444
17,"GALE",1.08,0.28,15.45%,47.09%,96.54%,0.84%,225.68%,73.74,4.82,12.35%,10.30%,1.86%,6849081
18,"JST",1.38,0.34,29.81%,32.64%,47.08%,11.04%,100.30%,80.47,8.65,12.19%,12.05%,0.13%,224401
19,"ACFN",0.21,0.21,20.96%,19.65%,-31.03%,-55.76%,53.68%,68.67,4.38,12.02%,11.45%,0.51%,548966
20,"OPHC",2.31,0.16,18.08%,15.16%,4.40%,-54.55%,300.00%,61.24,1.60,11.89%,1.27%,10.49%,20851
21,"URG",2.06,0.06,21.94%,24.71%,33.22%,2.16%,97.22%,69.40,1.42,11.81%,11.81%,0.00%,2563222
22,"NTWK",1.95,0.18,17.13%,-2.81%,-41.09%,-60.39%,30.59%,59.92,5.55,11.45%,10.34%,1.00%,564264
23,"INVN",,0.64,17.19%,15.28%,31.60%,-8.02%,120.79%,73.22,20.07,11.25%,6.36%,4.60%,6549455
24,"UWN",0.78,0.06,23.62%,26.32%,24.94%,3.08%,78.67%,76.10,1.34,10.74%,10.74%,0.00%,327512
25,"DSKX",-0.19,0.18,10.53%,11.42%,15.81%,-38.65%,71.43%,56.25,2.42,10.37%,7.91%,2.28%,44289
26,"ONVI",0.76,0.10,3.46%,2.63%,4.56%,-12.01%,46.57%,56.90,4.91,10.34%,6.28%,3.82%,28016
27,"JRJC",1.27,0.39,27.21%,59.51%,172.00%,-0.72%,410.19%,77.02,5.51,10.20%,6.58%,3.40%,1001526
28,"CYTR",1.14,0.59,45.04%,93.48%,121.09%,-14.73%,221.67%,68.59,5.79,10.08%,6.04%,3.80%,8586101
29,"CUR",1.64,0.12,15.07%,18.80%,60.58%,-2.65%,194.00%,73.40,2.94,9.70%,9.70%,0.00%,2136166
30,"NL",1.54,0.37,1.52%,-1.27%,-1.34%,-16.25%,10.64%,52.96,11.02,9.11%,6.17%,2.77%,91176
31,"GOMO",,1.61,31.87%,32.95%,32.95%,4.38%,75.00%,,21.70,9.05%,8.66%,0.35%,797074
32,"RSOL",1.35,0.20,21.74%,1.34%,22.31%,-57.32%,512.00%,61.35,3.06,8.90%,5.52%,3.20%,4510909
33,"ENPH",,0.40,7.88%,-9.96%,-10.74%,-36.10%,90.75%,53.19,6.39,8.86%,8.49%,0.34%,756538
34,"AEY",0.61,0.07,6.40%,5.06%,11.77%,-17.38%,38.97%,62.68,2.71,8.84%,4.63%,4.02%,109041
35,"AMRS",,0.34,79.69%,100.93%,105.39%,-6.87%,162.21%,92.50,5.69,8.80%,13.80%,-4.40%,2730998
