"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"HTBX",,0.24,29.66%,16.34%,-15.73%,-65.34%,47.22%,70.25,5.30,28.02%,2.91%,24.40%,1362883
2,"EVRY",,0.28,14.90%,23.14%,-46.43%,-81.31%,282.09%,57.68,2.56,24.27%,19.63%,3.88%,3763131
3,"KUTV",1.97,0.07,25.36%,18.40%,-31.07%,-60.25%,34.79%,70.89,1.55,23.02%,20.16%,2.38%,449210
4,"DGLY",0.74,0.90,69.10%,73.51%,10.17%,-59.87%,131.35%,67.17,7.01,21.07%,12.52%,7.60%,7289617
5,"HGSH",-1.19,0.60,79.06%,84.70%,23.96%,-36.29%,166.67%,72.07,5.60,19.15%,14.29%,4.26%,1530147
6,"ZBB",2.34,0.09,0.77%,-8.91%,8.32%,-69.68%,260.00%,49.19,1.44,18.03%,18.03%,0.00%,1550153
7,"CMGE",,0.91,25.08%,21.27%,-14.68%,-54.16%,68.00%,75.29,18.48,16.30%,14.50%,1.57%,1642383
8,"AMCF",2.03,0.23,61.79%,66.72%,73.21%,-10.06%,406.67%,80.16,3.04,16.03%,16.92%,-0.76%,723827
9,"EFUT",0.58,0.14,2.02%,2.07%,-4.10%,-36.81%,43.59%,55.63,4.48,14.87%,10.89%,3.59%,45771
10,"ADXS",1.05,0.12,12.70%,6.79%,-13.12%,-73.08%,28.05%,66.36,3.15,13.31%,1.61%,11.51%,1228527
11,"CCCR",,0.26,11.64%,2.56%,-39.59%,-73.31%,47.87%,58.63,3.53,13.27%,11.84%,1.28%,729630
12,"BONT",3.83,0.34,10.28%,3.83%,-12.00%,-45.90%,16.55%,61.25,10.21,12.82%,14.08%,-1.10%,1205486
13,"CRMT",0.68,1.01,10.69%,9.95%,8.26%,-12.66%,21.12%,70.09,41.86,12.56%,-2.20%,15.08%,309252
14,"COSI",0.84,0.12,34.78%,48.22%,31.95%,-33.33%,91.49%,79.30,1.80,12.50%,7.14%,5.00%,543924
15,"DVCR",0.10,0.56,28.93%,34.58%,63.06%,-1.91%,119.83%,68.87,9.75,10.67%,11.68%,-0.91%,22521
16,"AVNW",1.56,0.07,7.55%,12.24%,-15.46%,-50.00%,42.42%,66.32,1.41,10.16%,12.80%,-2.34%,925957
17,"TRUE",,1.01,28.11%,34.07%,41.31%,7.21%,106.96%,73.93,18.73,9.85%,9.53%,0.29%,1159198
18,"XXII",3.01,0.19,21.87%,9.73%,21.15%,-48.74%,274.71%,65.00,3.26,9.76%,10.51%,-0.67%,608845
19,"SGOC",-0.71,0.13,6.84%,-6.39%,-39.25%,-79.35%,35.44%,53.58,1.72,9.56%,10.97%,-1.27%,253985
20,"CAMT",1.81,0.22,13.76%,15.53%,12.15%,-35.77%,158.13%,64.55,4.13,9.55%,5.09%,4.24%,2016126
21,"HIHO",1.58,0.18,14.36%,23.90%,32.23%,-24.67%,94.10%,76.63,3.62,9.04%,7.10%,1.81%,86281
22,"AXGN",0.66,0.13,16.40%,7.74%,-16.68%,-47.31%,29.86%,65.26,2.74,8.73%,7.45%,1.19%,167267
23,"CGA",0.78,0.11,17.22%,12.34%,-18.38%,-52.55%,27.37%,66.77,2.42,8.52%,7.56%,0.90%,1588961
24,"LIQD",,0.10,-5.34%,-12.32%,-65.82%,-85.73%,22.50%,44.88,1.47,8.09%,9.70%,-1.47%,716991
25,"SREV",1.11,0.18,-3.06%,-21.03%,-47.34%,-73.63%,14.24%,40.90,3.61,8.08%,8.73%,-0.60%,5293480
26,"FLML",0.62,0.66,11.71%,12.26%,42.78%,0.19%,197.74%,64.55,15.78,8.08%,8.08%,0.00%,456438
27,"PLCE",0.35,1.13,8.62%,9.69%,6.25%,-7.18%,22.41%,68.83,54.38,7.79%,2.12%,5.55%,1789142
28,"FXEN",2.41,0.10,6.70%,-0.16%,-7.98%,-42.74%,11.67%,58.20,3.35,7.72%,8.41%,-0.64%,333176
29,"DTSI",1.27,0.64,17.97%,20.77%,14.60%,-6.77%,37.11%,78.17,22.98,7.18%,4.45%,2.61%,254383
30,"NFEC",0.81,0.22,15.22%,14.93%,62.18%,-7.10%,251.22%,61.33,2.88,6.67%,7.87%,-1.11%,225313
31,"HMSY",0.46,0.78,18.30%,17.12%,13.88%,-13.53%,52.32%,74.75,23.00,6.63%,6.73%,-0.09%,3093513
