"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"RADA",0.93,0.24,298.27%,308.62%,303.13%,84.83%,373.81%,96.95,5.97,136.90%,117.88%,8.73%,38082564
2,"GIGA",0.72,0.19,53.09%,45.95%,96.94%,-35.15%,244.44%,76.18,3.10,49.04%,46.92%,1.44%,2737387
3,"MGAM",1.61,0.82,33.31%,29.58%,22.94%,-7.59%,54.69%,83.65,36.15,30.13%,1.18%,28.62%,11250988
4,"BKYF",0.91,0.70,30.50%,31.58%,33.06%,19.18%,76.22%,85.80,46.50,28.28%,0.63%,27.48%,820941
5,"GLRI",,0.49,7.15%,-3.93%,-2.37%,-34.14%,31.51%,54.58,8.19,22.10%,22.10%,0.00%,331366
6,"CMGE",,1.48,62.00%,78.79%,29.67%,-30.02%,156.45%,88.16,28.21,20.04%,18.98%,0.89%,2214519
7,"YOD",0.74,0.15,-3.17%,-11.89%,-30.54%,-69.48%,71.22%,46.10,2.24,19.95%,19.31%,0.53%,738902
8,"MSON",0.03,0.20,18.68%,18.18%,26.67%,9.76%,103.89%,76.59,7.87,18.70%,18.17%,0.45%,50831
9,"RMGN",,0.12,14.32%,-8.32%,-50.56%,-78.42%,102.25%,56.17,1.80,18.42%,16.88%,1.32%,216819
10,"FLXN",,0.86,23.64%,26.55%,16.28%,-20.19%,50.45%,72.39,16.64,18.35%,18.10%,0.21%,151437
11,"DYSL",0.60,0.10,8.27%,6.22%,21.27%,-20.54%,187.08%,60.88,1.78,17.87%,18.66%,-0.66%,702677
12,"INVE",0.69,0.99,47.96%,71.02%,127.45%,10.51%,327.14%,84.21,20.93,17.58%,15.32%,1.97%,589681
13,"ACFN",0.60,0.14,3.72%,-8.73%,-32.26%,-70.91%,43.70%,49.74,1.94,16.87%,16.87%,0.00%,612169
14,"THLD",2.36,0.15,11.83%,11.76%,4.39%,-22.43%,31.05%,68.42,4.60,16.16%,11.65%,4.04%,2767943
15,"STML",,0.60,8.41%,0.27%,-32.05%,-74.14%,16.38%,56.92,12.22,14.96%,14.53%,0.38%,391371
16,"IHT",-0.06,0.10,4.00%,1.58%,10.87%,-19.69%,57.58%,55.14,2.08,14.92%,18.86%,-3.31%,56040
17,"VIMC",1.30,0.32,50.54%,70.76%,75.87%,4.25%,339.02%,83.18,5.40,13.68%,10.20%,3.16%,2235599
18,"MXC",1.47,0.32,18.25%,14.03%,10.60%,-25.94%,34.80%,66.39,8.25,13.01%,11.49%,1.37%,108088
19,"CMCM",,1.80,12.40%,31.59%,45.49%,-0.10%,142.72%,65.94,30.34,12.79%,13.63%,-0.74%,2205244
20,"IPCI",1.36,0.18,38.85%,25.38%,-2.09%,-45.20%,117.18%,78.07,3.54,12.74%,8.59%,3.82%,1301348
21,"EBIO",,0.81,6.82%,4.22%,-3.67%,-35.95%,30.32%,55.37,12.38,12.55%,12.85%,-0.27%,14083
22,"QRHC",-0.64,0.20,3.50%,-4.60%,30.22%,-34.51%,202.22%,51.13,4.08,12.09%,12.40%,-0.27%,225551
23,"LUNA",0.29,0.07,16.34%,12.73%,6.80%,-54.76%,32.17%,69.95,1.52,11.76%,10.95%,0.74%,387613
24,"SPHS",1.99,0.16,12.60%,20.14%,-3.38%,-45.35%,53.81%,64.91,3.23,11.76%,10.62%,1.04%,25214
25,"CANF",,0.21,5.43%,4.04%,-20.77%,-57.72%,21.21%,55.55,4.00,11.73%,6.38%,5.03%,47949
26,"JRJC",2.10,0.96,18.75%,64.51%,79.35%,-22.47%,441.76%,65.87,9.21,11.64%,9.77%,1.70%,4775156
27,"GRO",1.17,0.07,13.47%,6.82%,-1.81%,-34.43%,29.91%,62.69,1.39,11.20%,8.59%,2.40%,237649
28,"CSUN",2.45,0.16,16.14%,14.64%,-20.85%,-65.65%,39.44%,70.28,3.50,11.11%,9.72%,1.27%,1693162
